[2023-09-05 23:13:42,972] video_summarizer - INFO - Loading tokenizer and model...
[2023-09-05 23:13:43,897] video_summarizer - INFO - Model not available in the best model directory. Check model trainer artifacts..
[2023-09-05 23:13:43,899] video_summarizer - INFO - Model not available in the artifacts/model_trainer and best model directory. Check model trainer artifacts..
[2023-09-05 23:14:15,856] video_summarizer - INFO - Tokenizer and model loaded from the best directory
[2023-09-05 23:14:16,008] werkzeug - WARNING -  * Debugger is active!
[2023-09-05 23:14:16,044] werkzeug - INFO -  * Debugger PIN: 100-514-523
[2023-09-05 23:14:20,396] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:14:20] "GET / HTTP/1.1" 200 -
[2023-09-05 23:14:20,519] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:14:20] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2023-09-05 23:17:26,254] video_summarizer - INFO - Youtube Video downloaded to uploads/Pytorch Bidirectional LSTM example.3gpp
[2023-09-05 23:18:21,383] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:18:21] "[35m[1mPOST /transcribe HTTP/1.1[0m" 500 -
[2023-09-05 23:18:21,890] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:18:21] "GET /transcribe?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2023-09-05 23:18:21,900] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:18:21] "GET /transcribe?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2023-09-05 23:18:22,006] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:18:22] "GET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2023-09-05 23:18:22,222] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:18:22] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-05 23:20:57,164] werkzeug - INFO -  * Detected change in 'C:\\Users\\arkab\\Documents\\Video_To_Speech\\src1\\components\\video_to_subtitle.py', reloading
